_id,feedback
15,"Ooze is a Michigan based company looking to enhance consumer experience. Our products are ideal for concentrates, tobacco, and essential oils. Our mission has always been to provide our customers with the quality they deserve without the inflated price they are accustomed to. Our goal is to improve the vaporizer pens and accessories industry with new and exciting products.

We've been in the vaping business since 2007, and our extensive knowledge and expertise has allowed us to develop better-burning and longer-lasting vape pens. Our relationship with retailers and understanding of the changing needs of the vape industry has placed our products on the cutting edge of the market, and our continued product development puts us ahead of the pack. We're always inventing and reinventing, and we can't wait to show you what we have in store! '“ less"
16,"Grocery Outlet Inc., supermarket chain previously known as Canned Foods Grocery Outlet, is owned by private equity firm and operated by the founding Read family. It focuses on discount overstocked and closeout products from name brand and private label suppliers. Jim Read founded the company in 1946 in San Francisco, California."
17,"Cregger Company is a distirubutor of Plumbing, HVAC, Electrical Supplies, and Appliances throughout South Carolina, North Carolina, Georgia. Founded in 1978, Cregger Company has grown into one of the largest independent distributors in the Southeast. Today Cregger Company employees over 350 associates across 37 locations. Under the leadership of CEO, Matt Cregger, the company continues to grow and prosper through its focus on customer service, extraordinary personnel, and discipline of operations. '“ less"
18,"Prologue est le plus important diffuseur-distributeur de livres indÃ©pendant au QuÃ©bec.

Nous comptons aujourd'hui 180 employÃ©s qui assurent la distribution de livres grand public auprÃ¨s de 4 500 points de vente au QuÃ©bec et au Canada !

Aujourd'hui ce sont 200 Ã©diteurs du monde entier qui nous font confiance !

Depuis octobre 2017, Prologue est une filiale Ã  part entiÃ¨re du Groupe Renaud Bray, le plus grand acteur de l'industrie du livre au QuÃ©bec. '“ less"
19,"Union Trailer is a new company opened in 2016. Our business sells medium to heavy duty trailers, Ariens & Gravely Lawn & Garden equipment & Stihl products. .We also do parts and service."
20,"Introduced in 1992, HomeGoods operates in the U.S. and Puerto Rico. This chain has both a standalone and superstore format, which couples HomeGoods with a T.J. Maxx or Marshalls.

GO FINDING.

Find an eclectic selection of home fashions from around the world, all at great prices. HomeGoods offers an ever-changing mix of merchandise, including: furniture, rugs, lighting, soft home, decorative accessories, tabletop, cookware, and much more. The HomeGoods shopping experience complements its sister retail banner, Homesense, with differentiated departments like children's, pet, and gourmet food. '“ less"
21,"Headquartered in Columbus, Ohio, Big Lots, Inc. is a community retailer operating more than 1,400 Big Lots stores in 47 states, dedicated to friendly service, trustworthy value, and affordable solutions in every season and category '“ furniture, food, dÃ©cor, and more.

We're committed to being the big difference for a better life by delivering unmatched value through surprise and delight, building a best place to work culture, rewarding shareholders with consistent growth, and doing good as we do well. '“ less"
22,We're Jacent and we deliver strategic merchandising.
23,"Beauty Brands, Kansas City born and nationally known, has 58 locations across twelve states, as well as an online destination '“ BeautyBrands.com. Beauty Brands is the go-to expert for hair services, hair styling, hair inspiration, advice and solutions so clients can look and feel confident every day. We're a team of committed, creative thinkers and problem solvers, dedicated to making a beautiful difference in the lives of all we touch. Beauty Brands is home to hundreds of stylists, estheticians, nail technicians, massage therapists, and retail associates committed to helping customers achieve the look they want so they can feel confident. With over 200 salon brand haircare, cosmetics, and skin care products in our impressive retail stores, and full-service salons and spas in every location, we are proud to offer the complete beauty experience. '“ less"
24,"DL Wholesale Inc is a rapid growing wholesale distributor of general hydroponic and horticulture equipment. Based out of the San Francisco Bay Area, we have been hard at work developing and bringing to market the most reliable, highest quality, and cost effective equipment. DL Wholesale provides our customers with excellent customer service, fast delivery options, and no-hassle return policies. We have the capabilities of providing anywhere from single small package shipments to full trailer loads. Bay Area hydroponic shops are provided with same or next day delivery service by our own delivery trucks.
Please take a look at our website to view our wide selection of products and see how DL Wholesale can help your company grow. '“ less"
25,Authorized Dealer for Cricket Wireless.
26,"Cato Corporation is an American retailer of women's fashions and accessories. The Company operates stores that are located throughout the United States, and in a variety of markets ranging from small towns to metropolitan areas. The market cap of Cato Corporation was 905.7 million U.S. dollars as at November 11, 2013."
27,"Tide Cleaners is a 24/7, locker-based laundry service. We are creating the future of laundry through technology."
28,"Trulieve is Florida's first Medical Marijuana dispensing organization. At Trulieve, we strive to bring you the relief you need in a product you can trust. Our plants are hand-grown in an environment specially designed to reduce unwanted chemicals and pests, keeping the process as natural as possible at every turn."
29,TCC Wireless is one of the largest T-Mobile premium retailers in the nation. We are a collection of devoted retail wireless professionals & fans with a passion for the business! We are always seeking enthusiastic and fun people to join our growing family in this exciting industry!
30,"Kirkland's is more than a leading retailer of home decor and gifts. We help our customers create the backdrop for memorable life events '” a family dinner, a child's first birthday, a 20th wedding anniversary, or just a cozy evening indoors.

We're different.
Walk through a Kirkland's store and you'll see; our products aren't displayed on row after row of cold, metal shelves. Together with our store associates, we create inspirational environments that delight the senses, spark memories, and inspire creativity.

We believe great style can come at a great price.
In 1966, Kirkland's was co-founded by Carl Kirkland in Jackson, TN, with a single belief in mind: great style can come at a great price'”always.

We're immersed in the communities where we live and work.
We believe in providing customers with everything they need to create inspirational living spaces, but we also believe in living inspirational lives. We honor this commitment through long-standing partnerships with local and national community-oriented organizations. We're strongly rooted in Tennessee and Jackson is still home to a Sales Support and Distribution Center. Our headquarters is located in Brentwood, TN within the Maryland Farms business community. At all levels of the organization, team members use their talents to help create engaging backdrops for customers' everyday lives, whether it's through merchandising, marketing, planning, accounting, and much more. Everyone plays an important role. Explore career opportunities at Kirkland's to start the next chapter of your career. '“ less"
31,"Stop & Shop operates over 375 stores throughout 7 states including: Massachusetts, Rhode Island, Connecticut, New Hampshire, New York, and New Jersey. A distribution center in Freetown, MA. 59,000 associates from the communities we serve.

Stop & Shop's roots go back to 1914, when the Rabinovitz family founded the Economy Grocery Stores Company in Somerville, MA; four years later, they introduced the modern self-service supermarket. In 1947, the 86-store chain became Stop & Shop, Inc. Since 1996, Stop & Shop has been a member of the Royal Ahold international family of fine grocery stores. '“ less"
32,"Fred Meyer, Inc., is a chain of superstores founded in 1922 in Portland, Oregon, by Fred G. Meyer (not to be confused with Frederik Gerhard Hendrik Meijer, former chairman of the Meijer superstore chain)."
33,"Founded in 1938, Columbia Sportswear Company is a global leader in designing, sourcing, marketing, and distributing outdoor and active lifestyle apparel, footwear, accessories, and equipment. Our four primary brands '” ColumbiaÂ®, Mountain HardwearÂ®, SORELÂ® and prAnaÂ® '” complement each other to address the diverse needs of active consumers and their products have gained an international reputation for their innovation, quality and performance '“ less"
34,"Be Part of The Experience!
For over 80 years, Haggen has been passionate about serving our customers with freshness and quality'”that's why we continuously strive to cultivate talented, dedicated crew members who share our passion for bringing customers the freshest, local products possible with genuine service while building a sustainable local food economy and supporting our communities. We're a neighborhood grocer who strives to sustain partnerships with our local farmers, ranchers, fisheries and businesses that supply our stores to bring the very best to our community markets. We are proud to offer fresh, local produce, sustainable seafood, fresh meat, a scratch made bakery, a vibrant delicatessen and a wide assortment of organic, gluten free, local and specialty items.

If you're excited about providing a delightful shopping experience for your community, join our team and help us provide our guests with fresh, wholesome and sustainable products and service with a smile. '“ less"
35,"EZ Furniture Sales & Leasing was founded in 2001 by Rich, Jason, and Chris after they had enough of working for other rigid corporate lease to own companies that did not take care of their customers or their people. The 3 owners worked tirelessly to create what is today the largest local lease to own company in Utah with 8 locations (and more to come soon). The 3 same owners are in-store leading our team every single day, teaching communication, sales, and management skills that last a lifetime. '“ less"
36,"Join the brand that values you. The one that sees your incredible potential and helps you grow and build a long-term career. Massage Envy is more than the leader in accessible massage, and skin care, and stretch. This is a strong community of 35,000+ therapists, estheticians, stretch providers, and associates dedicated to the pursuit of total body wellness. Whether you're just starting out or you're ready to make a move to the next level, at a Massage Envy franchised location* you'll find a gratifying career that cares for you. Discover a home for your many talents with the opportunities, financial stability, and support you need to thrive. From a commitment to self-care and free continuing education to the recognition and rewards you deserve, this is where you can do more of what you love.

*Each individual franchised location, not ME SPE Franchising, LLC (""MEF"") or any of its affiliates, is the sole employer for all positions posted by a franchised location, and each individual franchised location is not acting as an agent for MEF or any of its affiliates. Hiring criteria, benefits, and compensation are set by each individually owned and operated franchised location and may vary from location to location. Â©2020 ME SPE Franchising, LLC. '“ less"
37,"We give her the style and value she loves, for all the stages she's on and all the stages she's in. We're her Stage.
'¢ Corporate Headquarters located in Houston, Texas.
'¢ In 42 states across the US with approximately 800 specialty BEALLS, GOODY'S, PALAIS ROYAL, PEEBLES and STAGE specialty department stores and 50 GORDMANS off-price stores
'¢ Average specialty department store size is 18,200 selling square feet and average off-price store is 55,000
'¢ Fiscal Year 2016 sales of $1.4 Billion
'¢ Approximately 14,500 employees
'¢ Refreshed over 200 of our top volume stores in 2015 and 2016

Our Goal: is to be the heart of every town we serve.
'¢ We are committed to giving back to the communities we serve, not only through financial resources, but with our talent and time.
'¢ Through our 'œCommunity Counts' program, we're giving back to the towns we serve and are actively involved in many charitable causes and sponsorships, as well as associate volunteerism efforts. With millions of dollars raised thus far through this program and many others, it is our hope to help our customers seize every opportunity for a bright future.

Stage is a values-driven organization with a commitment to excellence. We love our customers and are proud of the relationships our associates build with them and their communities by creating fun and positive experiences for all.

For more information on Stage including our Culture, Investor Relations, and more on Community Involvement and Careers, please visit http://corporate.stage.com/. '“ less"
38,"Established in the 1920s, Robbins Brothers, The Engagement Ring Store, is an engagement and wedding ring retailer with freestanding stores located in Southern California; Houston, TX; Dallas/Ft. Worth, TX; Seattle, WA and Scottsdale, AZ. Robbins Brothers serves as the destination for couples in love. While the company specializes in engagement ring settings and loose diamonds, it carries an extensive selection of wedding bands, promise rings, anniversary bands, three-stone rings, earrings, pendants and bracelets. The company features designers including Tacori, Simon G., Verragio, Coast Diamond, Michael M. and Henri Daussi; as well as proprietary brands such as Cherish, Candlelight and Poem. Onsite jewelers are available to set diamonds, create custom-settings and perform service and maintenance checks. Visit www.RobbinsBrothers.com to learn more.
Robbins Brothers specializes in helping couples at one of the happiest times in their lives. And we realize that it takes talented, dedicated and genuinely caring professionals to consistently deliver our incredible experience every day. What we offer in return for this level of commitment is one of the strongest compensation packages in the industry. And while the financial rewards are important, we also celebrate each team member's success with recognition and awards, and provide mentorship opportunities with key executives to help individuals continually grow and develop in their career.

CALIFORNIA stores: Fullerton (North Orange County) Woodland Hills (San Fernando Valley) Torrance (South Bay) Montclair (Inland Empire) San Diego (Mission Valley) Costa Mesa (South Coast) Glendale (near Downtown LA/Burbank) Riverside (Inland Empire)
TEXAS stores: Dallas (near Galleria) Arlington/Ft Worth (near Dallas Cowboys stadium) Houston Loop (near the Galleria) Houston Clearlake/Baybrook (Webster)
WASHINGTON stores: Seattle (in Belltown on First Avenue) Bellevue (near Bellevue Square Mall) ARIZONA store: Scottsdale (Phoenix, Tempe, Mesa) '“ less"
39,"Lane Bryant is a United States retail women's clothing store chain focusing on plus-size clothing. It began in 1904 with the innovative maternity designs created by Lena Himmelstein Bryant Malsin. As of 2013, the chain consists of 812 stores in 46 U.S. states (only Alaska, Hawaii, Montana and Wyoming do not have Lane Bryant stores)."
40,"Did you know that'¦

There really was a Cumberland Farms. Vasilios and Aphrodite Haseotes bought it in Cumberland, Rhode Island in 1939, along with their very first cow.

In 1962, Cumberland Farms opened up the first ever convenience store in the Northeast.

Way back in 1972, we were one of the first places anywhere to offer self-serve gasoline. Today, Cumberland Farms has almost 600 stores in 11 states, and employs over 6,000 people.

In 1986, Cumberland Farms bought all of Gulf Oil's gas stations and trademark in the Northeast.

We sell nearly 3 million gallons of Chill Zone every year, or enough to fill 6 olympic size pools.

Long before Ari Haseotes became President of Cumberland Farms, he was a manager in our Westborough MA store.

Last year, The Cumberland Gulf Group of companies ranked in the Top 50 of the Forbes Top 500 Private Companies.

The most popular Chill Zone flavor today is Berry Backlash, followed by NRG Kick and Red Rage.

We can fill over 33 oil tankers with the 20 million cups of coffee we sell every year.
Our fantastic new store designs feature freshly prepared hot sandwiches, a shake machine, no fee ATM's, and a state of the art Chill Zone. These new stores will be coming soon to a neighborhood near you. '“ less"
41,"At Macey's, Happy ShoppingÂ® isn't just something we say, it's something we live by. We want our customer's grocery shopping experience to be fun which is why we've created a unique environment with bright colors, great signature products, a fun mascot and low prices. Macey's is locally owned and operated and fully supports the community we live in."
42,"We are a People First culture, knowing no matter what product or service we offer, our People are the engine making it all happen. We flourish in our open culture and we proudly bring together people with diverse perspectives, backgrounds and experiences where we are challenged to Raise the Bar, not settle for less than the best and consistently find ways to improve and innovate. We are collaborative, transparent and committed to our People and their work experience, growth and professional development.. '“ less"
43,"Headquartered in Romeoville, IL, Magid is America's leading manufacturer, importer, distributor and direct supplier of hand protection, protective clothing, first aid, and personal protective equipment (PPE).

Our mission is to partner with companies to keep their workers safe. From Personal Protective Equipment to assessments to education, we bring you ready solutions and a unique ability to customize products and programs to make your job easier. As a family-owned business since 1946, safety isn't just a job, it's our legacy. '“ less"
44,"Kum & Go is a family-owned operation run by Kyle J. Krause, son and grandson of the original founders. We employ 5,000+ associates in more than 400 stores across 11 states throughout the Midwest. We pride ourselves on not being a ""typical"" convenience retailer. Sure, we provide the products and services that you'd expect to find, fresh food to satisfy the cravings of our on-the-go customer and a selection of quality fuel products. Yet what truly sets us apart from our competitors is our people.

We are proud to donate 10% of our profits to good causes in our communities. We donate food, serve meals, build houses, support schools and do whatever else a good neighbor would. Because that's how we think of ourselves: we're neighbors in our communities, and investing in them makes better places and better people. And better people make a better Kum & Go.

Kum & Go is part of Krause Holdings, a family of businesses which also includes Solar Transport, the Des Moines Menace soccer team, Italian wineries Vietti and Enrico Serafino, in additional to real estate and agriculture operations. Cross-company career moves and opportunities are available for associates looking to broaden their horizons and diversify their career paths. '“ less"
45,"Cain and Abel they're not! Brothers and executives Joe and Mike Zeiden founded Z Gallerie in 1979, using their parents' garage for a warehouse and production facility. Initially Z Gallerie (later joined by sister Carole Malfatti) sold poster art, but in the 1980s the trio added home furnishings and accessories to the merchandising mix. Today Z Gallerie stores, which span some 10,000 sq. ft. on average, feature bedding and pillows, dinnerware, glassware, rugs, lamps, candleholders, clocks, frames and albums, games, and gifts. The firm's eclectic pieces are sold through its website and some 55 US retail locations in nearly 20 states. Z Gallerie exited Chapter 11 in fall 2009 after a six-month stint in bankruptcy.

Since emerging from bankruptcy protection, Z Gallerie spends its time prudently shopping for new locations for its shops while the company keeps a close eye on the performance of its existing stores. The furniture retailer opened a store in Redmond, Washington, and in late 2011 opened two more shops: one each in Texas and Georgia.

Prior to its April 2009 bankruptcy filing, the furniture seller shuttered about 20 underperforming stores and a distribution center in Atlanta in response to the slowdown in the economy. The closures caused the firm to exit several markets, including Ohio, consolidate its network of distributors, and shed about 350 employees.

Z Gallerie blamed its financial woes on the recession and competition from going-out-of-business sales held by competitors as the recession took root. The company said that it filed for Chapter 11 to strengthen its balance sheet and to get out of the lease obligations associated with the closed stores and distribution facility. '“ less"
46,"Your local Country Stores are here to provide quality goods and services for your 'œFarm-Pet-Home' needs. Our friendly and knowledgeable staff is there to deliver a positive customer experience and some expertise so we can help you when you have projects that challenge you.

Our busiest days of the year revolve around our four legged friends. We call it Pet-a-Palooza! We offer products for those that want to raise animals and crops, but we're adding to that with True Value & Ace Hardware, rugged and durable clothing and much more. As a local business with supporting agriculture at the heart of our mission statement, it is important to us that we hold true to our local grass roots and our Country Stores are vital to that mission. We offer a unique youth program for 4H and FFA members, you may have seen us at your local fairs. We hope you enjoy shopping at our County Stores. '“ less"
47,"DO YOU HAVE A GIFT FOR INTERIOR DESIGN?

Calico is always looking for enthusiastic, creative people to join our stores. We offer an excellent compensation/benefits package, a generous employee discount plan, and a stimulating working environment."
48,"Adored by fashion fans Primark is widely established as the destination store for keeping up with the latest looks without breaking the bank.

We offer a diverse range of products, stocking everything from baby and kids, to womens, mens, home, accessories, beauty products and confectionery.

Primark opened its first store in Dublin in 1969 under the name Penneys and today operates over 300 stores in ten countries across Europe while growing our presence in the United States.

Primark is an exciting company where no two days are the same. We operate at a fast pace across all functions and aim to deliver amazing fashion and amazing prices to our customers every day. '“ less"
49,"Founded in 1972 by avid young angler Johnny Morris, Bass Pro Shops is a leading national retailer of outdoor gear and apparel, with 100 stores and Tracker Marine Centers across North America. Johnny started the business with eight-square-feet of space in the back of his father's liquor store in Springfield, Mo., the company's sole location for the first 13 years of business.

Johnny's passion for the outdoors and his feel for the products and shopping experiences desired by outdoor enthusiasts helped transform the industry. Bass Pro Shops locations are more than just stores '” they are true destination experiences that draw more than 120 million visitors annually. Each location is heavily customized to reflect the character of the region. In addition to giant aquariums teeming with live fish and extensive wildlife mounts and dioramas, many locations feature unique restaurants and ocean-themed bowling alleys.

Guided by the visionary leadership of our founder and CEO Johnny Morris, Bass Pro Shops is making a significant impact in on the future of conservation. More than 40 years after Johnny began helping people connect with nature through a tiny bait shop, our conservation mission is to inspire people to enjoy, love and conserve the great outdoors. Key conservation initiatives include protecting wildlife and habitat, connecting kids and families to the outdoors and protecting sportsmen's rights through access and advocacy efforts.

We play an active role in the communities we serve including partnering with local conservation organizations, assisting in disaster relief efforts and supporting our military and veterans.

Our associates are the heart and soul of Bass Pro Shops. We work together every day to support our customers and each other based on the essential values of respect, fairness and teamwork to accomplish great things. As a result, we have been voted by Forbes as one of ""America's Best Employers."" '“ less"
50,"Blick Art Materials is the largest provider of art supplies in the United States. Founded in 1911, Blick's longevity and industry leadership are the result of consistently providing our customers with superior value, an unmatched selection of products, and outstanding service. To deliver on these goals, we are determined to recruit, train, develop, and retain employees who are hard-working, ethical, and know how to deliver an exceptional customer service experience.

We offer unlimited opportunities and consistently promote from within. We also strive to create a climate that calls forth the best in every employee. Blick is a great place for individuals who love to solve problems, and want to grow their careers at the same time. In short, we're looking for great people. '“ less"
51,"Jon-Don gives service contractors, facilities managers, and others everything they need to keep things clean and looking their best '“ whether it's removing that one impossible carpet stain or resurfacing a massive warehouse floor. Since 1978, we've been providing not just the products and equipment they need, but the real world knowledge, rolled-up sleeves approach, and rock-solid reliability they can't find with other suppliers. Today, with 14 distribution centers strategically located throughout the United States, we're serving industries ranging from carpet cleaning to janitorial to restoration to concrete polishing and surface prep.

Jon-Don. Let's tackle your toughest jobs. '“ less"
52,"Bob's Stores is a chain of 35 retail stores in the northeastern United States owned by Versa Capital Management. Founded as Bob's Surplus in Middletown, Connecticut, by Bob Lapidus in 1954, the chain expanded gradually until it was acquired by TJX in 2003. The chain targets moderate-income customers with a selection of footwear, workwear, teamwear, and activewear. '“ less"
53,"Holiday Market is an Employee-owned Company, which means we take pride in what we offer our friends and neighbors.

As our Mission Statement says, ""We are the store in your community for people that are passionate about food.""

Holiday Market is entirely employee-owned, which means that it's employees, not outside investors, have the greatest stake in the success of their business.

Employee-owned matters.
We take pride in what we offer our friends, family, and neighbors.

Supporting local business matters.
Keep the money flowing within our community.

Supporting community matters.
We love making a difference. '“ less"
54,"Pet Health Food Store with a cage-free grooming spa, daycare and resort-like no other!"
55,"Founded in 2000, The Outdoor Network is a group of websites, authorized power equipment dealerships, major distribution facilities, and expert human resources dedicated to the sale and distribution of original manufacturer (OEM) and aftermarket parts. On our websites - Partzilla.com, Boats.net, and Firedog.com - you'll find over a million in-stock parts for motorcycles, ATVs, UTVs, PWCs, outboard engines, scooters, and power equipment of all sizes. Over the past 16 years, our flagship ecommerce websites, Partzilla.com and Boats.net, have proudly shipped more than 2 million orders to 120-plus countries. We're not only online, though; Outdoor Network operates several full-line powersports and marine dealerships. '“ less"
56,"Apollo Retail Specialists is a full-service retail support company with a proven, 20-year track record among leading retailers and brands in the US and Canada. The wide array of Fortune 100 companies we serve has resulted in the development of industry-leading best practices.

'¢ Thousands of active retail professionals, all W-2 employees, ensuring quality control, timeliness and accountability
'¢ Retailer-specific training, testing and certification
'¢ Comprehensive regional supervisor structure assures high-quality field performance
'¢ Expert project management, measurement and reporting via Apollo's proprietary software system
'¢ Fulfillment and shipping capabilities
'¢ Multi-faceted Quality Assurance program

Apollo Retail Specialists and Apollo Retail Specialists of Canada are divisions of DDP Holdings, LLC.
In 2012, Apollo Retail acquired the operations of Impact Resource Group. '“ less"
57,"¢ Austin, Texas-based Whole Foods Market (NASDAQ: WFM) is the leading natural and organic food retailer, and one of the most vibrant lifestyle brands in the country.

'¢ We have been named one of the 'œ100 Best Companies to Work For' in America by FORTUNE magazine for the last 20 years.

'¢ Our company's motto, 'œWhole Foods, Whole People, Whole Planetâ„¢' captures our mission to ensure customer satisfaction and health, Team Member excellence and happiness, enhanced shareholder and supplier partner value, community support and environmental improvement.

'¢ With over $16 billion in sales last year, more than 450 stores, and more than eight million customer visits each week, Whole Foods Market is dedicated to providing communities with fresh, healthy, natural and organic food.

'¢ We are an always-evolving, experimental lifestyle retailer with a goal of reaching 1,200 stores. '“ less"
58,"Livingood's Appliance is locally owned and operated, and this year will celebrate our 40th year of providing customers in the Georgia and South Carolina areas the best appliance value and the highest level of customer service."
59,"Hollister Co. is an American lifestyle brand by Abercrombie & Fitch Co. The concept was originally designed to attract consumers aged 14'“18, at a lower price point than the parent brand through its SoCal-inspired image and casual wear. Goods are available in-store and through the company's online store. It was ranked as the second most preferred clothing brand of US teens on a long list of actual West Coast companies in 2008 by Piper Jaffray. '“ less"
60,"Team Schierl Companies (TSC) is family owned in Stevens Point, Wisconsin. Innovation, growth, and giving back to local communities lie at the heart of this organization.

Currently, Team Schierl Companies operates:
'¢ 25 The Store convenience store locations
'¢ 6 Schierl Tire & Service Centers
'¢ 1 Hartje Tire & Service Center
'¢ 27 Subway locations
'¢ Brand promotion of Northern Oasis Spirits
'¢ Commercial Leasing & Development

Since its founding, Team Schierl Companies has expanded throughout Central Wisconsin and into Upper Michigan. TSC generates 110-115 million dollars in sales annually.

Giving back to the communities in which Team Schierl Companies does business is a cornerstone of the organization. TSC organizes numerous fundraising events each year supporting many charities; additionally, the Team Schierl Companies Charitable Giving Fund has donated over $3.2 million locally. Through both business and charity endeavors, Team Schierl Companies continuously serves the public to ensure happy, healthy communities.

Please consider joining us in Building Tomorrow Together. '“ less"
61,"Founded by retail executive Ron Travers, Premium remains independently owned and led by Ron's sons Brian and Kevin as co-CEOs.

We believe people are our greatest resource and we work hard to ensure that our core beliefs of family, partnership, creativity, integrity and eclipsing expectations shine through in everything we do. This has been Premium's philosophy since 1985.

Despite our growth, we still have the beating heart of a small company. We celebrate our wins, tackle our challenges, and work as one. '“ less"
